	DEPT	ТАЛЬБЛОК	НАГРУЗКА	ОБОРОТЫ_РОТОРА	СКОРОСТЬ_МЕХАНИЧЕСКАЯ	РАСХОД_НА_ВЫХОДЕ	ВЕС_НА_КРЮКЕ	СКОРОСТЬ_БУРЕНИЯ	ДАВЛЕНИЕ_НА_ВХОДЕ	ДМК	МОМЕНТ_РОТОРА
240	73.0	6.884	1.605	63.9	8.47	22.12	20.0	11.33	24.9	7.12	1.98
241	73.2	6.632	1.621	64.52	9.06	22.12	20.01	11.02	25.4	6.43	1.966
242	73.4	6.38	1.643	65.32	9.51	22.13	20.21	10.2	26.1	6.01	1.958
243	73.6	6.128	1.671	67.19	9.96	22.13	21.04	7.58	27.5	5.95	1.977
244	73.8	5.877	1.705	67.75	9.99	22.14	21.37	6.53	28.2	6.05	1.975
245	74.0	5.625	1.744	67.9	9.76	22.14	21.62	5.79	28.8	6.36	1.972
246	74.2	5.373	1.792	66.88	8.9	22.14	21.63	5.91	29.0	7.21	1.966
247	74.4	5.122	1.84	65.79	8.02	22.14	21.59	6.21	29.1	8.05	1.961
248	74.6	4.87	1.884	64.78	7.24	22.15	21.53	6.59	29.1	8.78	1.957
249	74.8	4.618	1.922	63.96	6.62	22.15	21.45	6.99	29.1	9.33	1.955
250	75.0	4.366	1.953	63.4	6.23	22.15	21.38	7.38	29.0	9.64	1.954
251	75.2	4.115	1.975	63.15	6.09	22.15	21.31	7.71	28.9	9.69	1.955
252	75.4	3.863	1.987	63.2	6.21	22.16	21.26	7.96	28.9	9.49	1.958
253	75.6	3.611	2.001	64.42	6.98	22.16	21.31	7.89	28.9	8.61	1.967
254	75.8	3.359	1.985	64.6	7.39	22.17	21.25	8.05	28.8	8.15	1.97
255	76.0	3.108	1.953	64.6	7.79	22.17	21.16	8.21	28.8	7.71	1.971
256	76.2	2.856	1.907	64.39	8.16	22.17	21.05	8.38	28.8	7.32	1.97
257	76.4	2.604	1.851	63.97	8.48	22.18	20.93	8.54	28.8	7.02	1.968
258	76.6	2.352	1.735	63.08	9.16	22.18	20.72	9.27	28.8	6.61	1.96
259	76.8	2.101	1.693	62.47	9.12	22.19	20.63	9.22	28.8	6.61	1.955
260	77.0	1.849	1.674	61.9	8.82	22.19	20.59	9.0	28.8	6.8	1.95
261	77.2	1.597	1.72	60.69	6.89	22.19	20.61	6.99	28.8	8.22	1.917
262	77.4	1.345	1.772	59.99	5.49	22.2	20.68	5.73	28.8	9.28	1.896
263	77.6	1.094	1.82	59.97	4.91	22.2	20.8	5.53	28.8	9.79	1.892
264	77.8	0.842	1.859	60.7	5.33	22.21	20.97	6.59	28.8	9.65	1.904
265	78.0	0.59	1.884	62.2	6.79	22.21	21.18	8.94	28.8	8.87	1.928
266	78.2	0.339	1.894	64.38	9.22	22.21	21.42	12.46	28.8	7.54	1.959
267	78.4	0.087	1.888	67.1	12.42	22.22	21.69	16.88	28.8	5.87	1.987
268	78.6	-0.165	1.819	72.97	20.35	22.22	22.09	27.16	28.8	-0.46	2.192
269	78.8	-0.417	1.807	74.94	22.5	22.23	22.3	30.08	28.8	-0.23	2.103
270	79.0	12.708	1.806	75.7	22.88	22.23	22.45	30.69	28.8	2.1	1.908
271	79.2	12.483	1.837	73.27	18.51	22.23	22.42	25.25	29.0	11.11	1.403
272	79.4	12.258	1.87	70.47	13.71	22.23	22.38	19.16	29.1	19.79	0.906
273	79.6	12.032	1.903	67.69	9.12	22.24	22.32	13.2	29.2	27.09	0.465
274	79.8	11.807	1.931	65.26	5.21	22.24	22.29	7.97	29.2	32.26	0.119
275	80.0	11.581	1.953	63.4	2.33	22.24	22.28	3.93	29.1	34.79	-0.108
276	80.2	11.356	1.968	62.25	0.68	22.24	22.31	1.34	29.0	34.49	-0.205
277	80.4	11.131	1.974	61.87	0.32	22.25	22.38	0.31	28.8	31.45	-0.172
278	80.6	10.905	1.958	63.77	3.87	22.25	22.55	3.89	27.9	19.62	0.239
279	80.8	10.68	1.956	64.2	4.77	22.26	22.67	4.5	28.2	14.74	0.385
280	81.0	10.455	1.953	64.6	5.54	22.26	22.81	5.08	28.9	10.88	0.508
281	81.2	10.229	1.951	64.91	6.07	22.26	22.95	5.49	30.0	8.35	0.594
282	81.4	10.004	1.95	65.07	6.29	22.27	23.1	5.67	31.5	7.26	0.637
283	81.6	9.778	1.953	64.77	5.29	22.27	23.24	4.67	34.3	10.75	0.536
284	81.8	9.553	1.953	64.71	5.26	22.28	23.38	4.69	35.8	11.12	0.526
285	82.0	9.328	1.953	64.6	5.31	22.28	23.51	4.83	36.9	11.37	0.515
286	82.2	9.102	1.954	64.44	5.62	22.28	23.68	5.24	37.2	10.84	0.511
287	82.4	8.877	1.955	64.23	5.96	22.28	23.8	5.71	37.2	10.25	0.507
288	82.6	8.652	1.955	63.98	6.3	22.29	23.88	6.21	37.1	9.67	0.504
289	82.8	8.426	1.954	63.7	6.63	22.29	23.9	6.71	37.0	9.14	0.5
290	83.0	8.201	1.953	63.4	6.91	22.29	23.86	7.18	36.8	8.69	0.498
