	DEPT	GR
387	34.671	46.9571
388	34.7472	55.0973
389	34.7472	47.477
390	34.8234	48.3988
391	34.8234	56.4172
392	34.8996	57.6064
393	34.8996	49.4405
394	34.9758	58.4299
395	34.9758	50.3584
396	35.052	51.0614
397	35.052	58.7349
398	35.1282	51.6113
399	35.1282	58.5853
400	35.2044	52.1383
401	35.2044	58.1442
402	35.2806	52.6211
403	35.2806	57.5352
404	35.3568	52.8856
405	35.3568	56.7682
406	35.433	52.646
407	35.433	55.7708
408	35.5092	51.7956
409	35.5092	54.4659
410	35.5854	50.4996
411	35.5854	52.9471
412	35.6616	51.4722
413	35.6616	49.1409
414	35.7378	48.0786
415	35.7378	50.4235
416	35.814	50.0186
417	35.814	47.4883
418	35.8902	47.3653
419	35.8902	50.2368
420	35.9664	47.5504
421	35.9664	50.8395
422	36.0426	47.8334
423	36.0426	51.5697
424	36.1188	52.2051
425	36.1188	48.0918
426	36.195	52.504
427	36.195	48.3102
428	36.2712	48.5928
429	36.2712	52.3477
430	36.3474	49.0717
431	36.3474	51.8644
432	36.4236	51.3462
433	36.4236	49.7831
434	36.4998	51.0626
435	36.4998	50.5566
436	36.576	51.1494
437	36.576	51.0639
438	36.6522	51.0127
439	36.6522	51.6256
440	36.7284	50.3724
441	36.7284	52.2684
442	36.8046	49.402
443	36.8046	52.7854
444	36.8808	52.928
445	36.8808	48.5285
446	36.957	52.5476
447	36.957	48.0401
448	37.0332	47.9785
449	37.0332	51.6747
450	37.1094	48.1839
451	37.1094	50.6278
452	37.1856	48.3899
453	37.1856	49.7955
454	37.2618	48.4075
455	37.2618	49.5076
456	37.338	49.8558
457	37.338	48.2887
458	37.4142	48.1991
459	37.4142	50.5711
460	37.4904	48.3006
461	37.4904	51.1506
462	37.5666	51.2714
463	37.5666	48.6611
464	37.6428	50.9275
465	37.6428	49.223
466	37.719	50.3464
467	37.719	49.815
468	37.7952	50.1976
469	37.7952	49.9042
470	37.8714	50.1735
471	37.8714	49.8317
472	37.9476	49.7179
473	37.9476	50.0106
474	38.0238	49.0855
475	38.0238	50.0963
476	38.1	48.5145
477	38.1	49.7338
478	38.1762	48.7527
479	38.1762	48.0072
480	38.2524	47.3875
481	38.2524	47.2186
482	38.3286	45.3025
483	38.3286	46.4126
484	38.4048	43.2316
485	38.4048	44.8674
486	38.481	42.7283
487	38.481	41.2048
488	38.5572	40.1712
489	38.5572	39.3384
490	38.6334	37.551
491	38.6334	37.6754
492	38.7096	35.2511
493	38.7096	36.2778
494	38.7858	33.5444
495	38.7858	35.3003
496	38.862	32.4922
497	38.862	34.8629
498	38.9382	32.1322
499	38.9382	34.9859
500	39.0144	35.5393
501	39.0144	32.5176
502	39.0906	33.5148
503	39.0906	36.2512
504	39.1668	36.8703
505	39.1668	34.7929
506	39.243	36.0221
507	39.243	37.244
508	39.3192	37.3474
509	39.3192	36.9578
510	39.3954	37.3243
511	39.3954	37.5063
512	39.4716	37.4164
513	39.4716	37.7345
514	39.5478	37.8121
515	39.5478	37.8068
516	39.624	38.5526
517	39.624	37.9052
518	39.7002	38.2839
519	39.7002	39.5606
520	39.7764	39.0993
521	39.7764	40.7353
522	39.8526	40.4118
523	39.8526	42.0031
524	39.9288	43.4117
525	39.9288	42.2798
526	40.005	44.7009
527	40.005	45.035
528	40.0812	46.8398
529	40.0812	47.3861
530	40.1574	48.7442
531	40.1574	49.8279
532	40.2336	51.5257
533	40.2336	50.5473
534	40.3098	52.2024
535	40.3098	51.9246
536	40.386	51.8827
537	40.386	52.6656
538	40.4622	52.6828
539	40.4622	50.8743
540	40.5384	51.9277
541	40.5384	49.5189
542	40.6146	48.0569
543	40.6146	50.3736
544	40.6908	46.5146
545	40.6908	48.0469
546	40.767	45.1573
547	40.767	44.7063
548	40.8432	42.151
549	40.8432	42.5134
550	40.9194	40.1012
551	40.9194	39.5742
552	40.9956	37.8264
553	40.9956	37.7482
554	41.0718	36.6598
555	41.0718	36.064
556	41.148	35.0248
557	41.148	36.1158
558	41.2242	35.857
559	41.2242	34.6995
560	41.3004	34.9628
561	41.3004	35.781
562	41.3766	35.6738
563	41.3766	35.9932
564	41.4528	36.67
565	41.4528	36.5422
566	41.529	37.3016
567	41.529	37.8463
568	41.6052	39.1157
569	41.6052	37.9931
570	41.6814	40.3151
571	41.6814	38.3574
572	41.7576	38.3991
573	41.7576	41.2251
574	41.8338	41.6812
575	41.8338	38.5462
576	41.91	39.2885
577	41.91	41.6929
578	41.9862	40.7702
579	41.9862	41.4717
580	42.0624	41.2792
581	42.0624	42.6452
582	42.1386	41.2778
583	42.1386	44.2032
584	42.2148	41.4612
585	42.2148	44.763
586	42.291	41.6686
587	42.291	44.1079
588	42.3672	41.6018
589	42.3672	42.5416
590	42.4434	40.6122
591	42.4434	41.04
592	42.5196	38.8166
593	42.5196	40.0207
594	42.5958	37.4417
595	42.5958	38.8079
596	42.672	36.5114
597	42.672	37.7523
598	42.7482	35.9508
599	42.7482	37.0882
600	42.8244	35.7314
601	42.8244	36.8241
602	42.9006	35.7839
603	42.9006	36.8249
604	42.9768	36.885
605	42.9768	35.9931
606	43.053	36.843
607	43.053	36.2504
608	43.1292	36.739
609	43.1292	36.4885
610	43.2054	36.7039
611	43.2054	36.7151
612	43.2816	36.9886
613	43.2816	36.8415
614	43.3578	37.3489
615	43.3578	37.1486
616	43.434	37.5811
617	43.434	37.682
618	43.5102	38.0849
619	43.5102	37.8572
620	43.5864	38.5748
621	43.5864	37.7951
622	43.6626	38.9289
623	43.6626	37.5128
624	43.7388	39.1024
625	43.7388	37.1138
626	43.815	39.1469
627	43.815	36.7764
628	43.8912	39.1069
629	43.8912	36.6475
630	43.9674	39.0098
631	43.9674	36.7631
632	44.0436	38.876
633	44.0436	37.1062
634	44.1198	38.7023
635	44.1198	37.5327
636	44.196	38.3741
637	44.196	37.7456
638	44.2722	37.4579
639	44.2722	37.7238
640	44.3484	36.5801
641	44.3484	36.4784
642	44.4246	34.9647
643	44.4246	34.8696
644	44.5008	33.0938
645	44.5008	32.9078
646	44.577	30.8782
647	44.577	31.2128
648	44.6532	29.4685
649	44.6532	28.9895
650	44.7294	27.9641
651	44.7294	27.3936
652	44.8056	26.7041
653	44.8056	26.1688
654	44.8818	25.6524
655	44.8818	25.2968
656	44.958	24.8079
657	44.958	24.7245
658	45.0342	24.181
659	45.0342	24.4056
660	45.1104	23.8154
661	45.1104	24.2134
662	45.1866	23.7476
663	45.1866	24.0304
664	45.2628	23.914
665	45.2628	23.7806
666	45.339	24.1785
667	45.339	23.4968
668	45.4152	24.4529
669	45.4152	23.2837
670	45.4914	24.7022
671	45.4914	23.2278
672	45.5676	24.9361
673	45.5676	23.348
674	45.6438	25.2307
675	45.6438	23.6877
676	45.72	25.6929
677	45.72	24.3622
678	45.7962	26.3497
679	45.7962	25.3807
680	45.8724	27.1864
681	45.8724	26.5926
682	45.9486	28.1109
683	45.9486	27.7865
684	46.0248	29.0024
685	46.0248	28.7919
686	46.101	29.5365
687	46.101	29.8433
688	46.1772	30.7201
689	46.1772	30.0799
690	46.2534	31.5844
691	46.2534	30.5527
692	46.3296	30.9997
693	46.3296	32.2474
694	46.4058	31.3314
695	46.4058	32.4505
696	46.482	31.9856
697	46.482	31.4239
698	46.5582	31.1601
699	46.5582	30.8207
700	46.6344	30.5382
701	46.6344	29.2165
702	46.7106	27.5607
703	46.7106	29.6647
704	46.7868	28.6756
705	46.7868	26.2175
706	46.863	27.6662
707	46.863	25.3329
708	46.9392	26.7054
709	46.9392	24.8347
710	47.0154	24.5233
711	47.0154	25.8501
712	47.0916	25.1269
713	47.0916	24.2832
714	47.1678	24.5983
715	47.1678	24.0776
716	47.244	23.9414
717	47.244	24.3455
718	47.3202	23.9941
719	47.3202	24.399
720	47.3964	24.3803
721	47.3964	24.8252
722	47.4726	25.2252
723	47.4726	25.7413
724	47.5488	26.6023
725	47.5488	27.2506
726	47.625	28.4993
727	47.625	29.3674
728	47.7012	31.9568
729	47.7012	30.83
730	47.7774	34.7171
731	47.7774	33.3912
