,DEPT,GR
434,53.0352,42.2415
435,53.1114,42.3129
436,53.1876,41.7424
437,53.2638,40.4936
438,53.34,38.752
439,53.4162,36.8599
440,53.4924,35.1829
441,53.5686,33.859
442,53.6448,32.8431
443,53.721,32.1505
444,53.7972,31.7966
445,53.8734,31.7452
446,53.9496,31.8664
447,54.0258,31.956
448,54.102,31.8336
449,54.1782,31.4181
450,54.2544,30.8048
451,54.3306,30.2909
452,54.4068,30.16
453,54.483,30.4908
454,54.5592,31.0529
455,54.6354,31.5136
456,54.7116,31.6796
457,54.7878,31.6094
458,54.864,31.4876
459,54.9402,31.4216
460,55.0164,31.4143
461,55.0926,31.3626
462,55.1688,31.1779
463,55.245,30.8847
464,55.3212,30.5828
465,55.3974,30.388
466,55.4736,30.4207
467,55.5498,30.7679
468,55.626,31.5075
469,55.7022,32.6698
470,55.7784,34.1523
471,55.8546,35.766
472,55.9308,37.2582
473,56.007,38.4068
474,56.0832,39.2118
475,56.1594,39.7839
476,56.2356,40.119
477,56.3118,40.1165
478,56.388,39.7037
479,56.4642,38.9084
480,56.5404,37.9317
481,56.6166,37.011
482,56.6928,36.221
483,56.769,35.5126
484,56.8452,34.7958
485,56.9214,33.9936
486,56.9976,33.2155
487,57.0738,32.7029
488,57.15,32.5798
489,57.2262,32.8302
490,57.3024,33.3483
491,57.3786,33.9835
492,57.4548,34.6173
493,57.531,35.1194
494,57.6072,35.2596
495,57.6834,34.9229
496,57.7596,34.105
497,57.8358,32.8757
498,57.912,31.4224
499,57.9882,30.0111
500,58.0644,28.8384
501,58.1406,28.0487
502,58.2168,27.7614
503,58.293,28.0367
504,58.3692,28.8216
505,58.4454,29.954
506,58.5216,31.0557
507,58.5978,31.7067
508,58.674,31.6628
509,58.7502,30.901
510,58.8264,29.6098
511,58.9026,28.1054
512,58.9788,26.7109
513,59.055,25.6802
514,59.1312,25.0541
515,59.2074,24.7534
516,59.2836,24.6959
517,59.3598,24.8634
518,59.436,25.222
519,59.5122,25.7117
520,59.5884,26.2727
521,59.6646,26.8535
522,59.7408,27.4327
523,59.817,28.0084
524,59.8932,28.629
525,59.9694,29.4591
526,60.0456,30.6919
527,60.1218,32.3081
528,60.198,34.1235
529,60.2742,35.9147
530,60.3504,37.4241
531,60.4266,38.4369
532,60.5028,39.018
533,60.579,39.4668
534,60.6552,40.1269
535,60.7314,41.1198
536,60.8076,42.2474
537,60.8838,43.1302
538,60.96,43.5367
539,61.0362,43.4672
540,61.1124,43.0696
541,61.1886,42.6757
542,61.2648,42.6177
